product_title,craft_type,material_cost,price,median_competitor_price,cost_floor,source
Artisan Handmade Brass Meenakari Enamel Bangles Set,Jewelry,490.0,2100,2450,800,synthetic_benchmark
Handcrafted Hand-Embroidered Chikankari Cotton Kurti,Embroidery,930.0,2900,3250,1400,synthetic_benchmark
Hand-Beaten Brass Dining Platter Thali Set,Metalwork,540.0,1600,1750,850,synthetic_benchmark
Organic Handloom Linen Scarf with Tassels,Handloom Textile,3000.0,7100,8850,4300,synthetic_benchmark
Zardozi Work Hand-Embroidered Velvet Clutch Bag,Embroidery,820.0,2400,3050,1250,synthetic_benchmark
Custom Handcrafted Beaded Semi-Precious Stone Bracelet,Jewelry,360.0,1400,1800,600,synthetic_benchmark
Handmade Brass Diya Oil Lamp Hanging,Metalwork,550.0,1550,1950,850,synthetic_benchmark
Vintage Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,680.0,2200,2450,1050,synthetic_benchmark
Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,740.0,2300,2800,1150,synthetic_benchmark
Hand-Embroidered Chikankari Cotton Kurti,Embroidery,380.0,1300,1550,650,synthetic_benchmark
Ergonomic Wireless Silent Optical Mouse,Electronics,1240.0,2900,3300,1850,synthetic_benchmark
Handmade Brass Diya Oil Lamp Hanging,Metalwork,1220.0,2700,3200,1800,synthetic_benchmark
Handcrafted Terracotta Handpainted Statement Jewelry Set,Jewelry,1450.0,3250,3950,2150,synthetic_benchmark
Handcrafted Walnut Wood Decorative Serving Tray,Woodwork,630.0,1600,2000,1000,synthetic_benchmark
Pochampally Ikat Handwoven Saree,Handloom Textile,3110.0,6200,6950,4450,synthetic_benchmark
Handcrafted Walnut Wood Decorative Serving Tray,Woodwork,830.0,2300,3000,1250,synthetic_benchmark
Handspun Cotton Table Runner with Tribal Motifs,Handloom Textile,1980.0,6000,7850,2850,synthetic_benchmark
Handloom Sambalpuri Silk Traditional Saree,Handloom Textile,2190.0,5800,6650,3150,synthetic_benchmark
Artisan Filigree Pure Silver Toe Rings Pair,Jewelry,390.0,1150,1500,650,synthetic_benchmark
Pochampally Ikat Handwoven Saree,Handloom Textile,2370.0,6450,8250,3400,synthetic_benchmark
10000mAh Magnetic Wireless Power Bank Fast Charge,Electronics,850.0,1700,2250,1300,synthetic_benchmark
Premium Earthen Clay Cooking Handi Pot,Pottery & Clay,370.0,1000,1150,600,synthetic_benchmark
Handmade Terracotta Decorative Wall Hanging,Pottery & Clay,400.0,1350,1700,650,synthetic_benchmark
Zardozi Work Hand-Embroidered Velvet Clutch Bag,Embroidery,660.0,1550,1950,1000,synthetic_benchmark
Intricately Carved Wooden Jewellery Box with Brass Inlay,Woodwork,190.0,800,950,350,synthetic_benchmark
Intricately Carved Wooden Jewellery Box with Brass Inlay,Woodwork,340.0,950,1100,600,synthetic_benchmark
Handspun Cotton Table Runner with Tribal Motifs,Handloom Textile,2110.0,5600,6800,3050,synthetic_benchmark
Handcrafted Sculpted Clay Floral Vase with Rustic Finish,Pottery & Clay,50.0,400,500,150,synthetic_benchmark
Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,590.0,1550,1800,950,synthetic_benchmark
Handmade Clay Coffee Mugs Set of 2,Pottery & Clay,340.0,950,1050,600,synthetic_benchmark
Handcrafted Kantha Stitch Embroidered Cotton Cushion Covers Pair,Embroidery,770.0,2150,2500,1200,synthetic_benchmark
Artisan Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,1730.0,3900,5150,2500,synthetic_benchmark
Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,280.0,850,950,500,synthetic_benchmark
Pochampally Ikat Handwoven Saree,Handloom Textile,2640.0,7950,9700,3800,synthetic_benchmark
Eco-Friendly Handmade Wooden Coaster Set of 6 with Stand,Woodwork,440.0,1550,2000,700,synthetic_benchmark
Cast Iron Artisan Skillet Fry Pan,Metalwork,1530.0,4500,5900,2250,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,1100.0,3950,5100,1650,synthetic_benchmark
Ergonomic Wireless Silent Optical Mouse,Electronics,710.0,1300,1500,1100,synthetic_benchmark
Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,310.0,900,1100,550,synthetic_benchmark
Custom Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,830.0,1700,2050,1250,synthetic_benchmark
Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,580.0,1450,1650,900,synthetic_benchmark
Authentic Kanjivaram Silk Festive Saree,Handloom Textile,1700.0,4850,5700,2500,synthetic_benchmark
Custom Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,150.0,750,1000,300,synthetic_benchmark
Handmade Clay Coffee Mugs Set of 2,Pottery & Clay,90.0,500,600,250,synthetic_benchmark
Eco-Friendly Noise Cancelling Over-Ear Studio Headphones,Electronics,650.0,1550,2000,1000,synthetic_benchmark
Artisan Filigree Pure Silver Toe Rings Pair,Jewelry,1440.0,4000,5300,2100,synthetic_benchmark
Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,590.0,1500,1750,950,synthetic_benchmark
Handmade Clay Kulhad Chai Cups Set of 6,Pottery & Clay,100.0,550,700,250,synthetic_benchmark
Kantha Stitch Embroidered Cotton Cushion Covers Pair,Embroidery,850.0,2700,3250,1300,synthetic_benchmark
Organic Handloom Linen Scarf with Tassels,Handloom Textile,3420.0,9500,11000,4900,synthetic_benchmark
Handcrafted Terracotta Water Pitcher with Traditional Lid,Pottery & Clay,240.0,500,600,450,synthetic_benchmark
Deluxe Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,740.0,2350,3000,1150,synthetic_benchmark
Handspun Cotton Table Runner with Tribal Motifs,Handloom Textile,3380.0,9500,11100,4850,synthetic_benchmark
Deluxe Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,500.0,1150,1450,800,synthetic_benchmark
Deluxe Handmade Kundan & Pearl Jhumka Earrings,Jewelry,2090.0,5450,7350,3050,synthetic_benchmark
Handloom Sambalpuri Silk Traditional Saree,Handloom Textile,2450.0,5550,6450,3550,synthetic_benchmark
Deluxe Handmade Brass Diya Oil Lamp Hanging,Metalwork,1240.0,3550,4550,1850,synthetic_benchmark
Handcrafted Terracotta Water Pitcher with Traditional Lid,Pottery & Clay,180.0,700,800,350,synthetic_benchmark
Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,1500.0,3450,4300,2200,synthetic_benchmark
Exquisite Terracotta Handpainted Statement Jewelry Set,Jewelry,2430.0,6700,8350,3500,synthetic_benchmark
Handmade Terracotta Decorative Wall Hanging,Pottery & Clay,110.0,650,800,250,synthetic_benchmark
Handmade Wooden Coaster Set of 6 with Stand,Woodwork,420.0,1700,2000,700,synthetic_benchmark
Handmade Wooden Coaster Set of 6 with Stand,Woodwork,250.0,900,1150,450,synthetic_benchmark
Exquisite Pure Bronze Kansa Serving Bowls Set of 2,Metalwork,1110.0,2150,2900,1650,synthetic_benchmark
Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,1630.0,3450,4200,2400,synthetic_benchmark
Hand-Stitched Patchwork Quilt Throw Blanket,Embroidery,820.0,2300,2900,1250,synthetic_benchmark
Handcrafted Handmade Kundan & Pearl Jhumka Earrings,Jewelry,1020.0,2600,3100,1550,synthetic_benchmark
Traditional Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,800.0,2000,2350,1200,synthetic_benchmark
Artisan Hand-Carved Wooden Wall Panel Relief,Woodwork,240.0,1050,1150,450,synthetic_benchmark
Traditional Jamdani Cotton Saree,Handloom Textile,1340.0,3450,4150,2000,synthetic_benchmark
Classic Handmade Mango Wood Candle Stand Pair,Woodwork,1200.0,4100,5500,1800,synthetic_benchmark
Noise Cancelling Over-Ear Studio Headphones,Electronics,890.0,1800,2300,1350,synthetic_benchmark
Handmade Brass Meenakari Enamel Bangles Set,Jewelry,2190.0,5700,7550,3150,synthetic_benchmark
Custom Handmade Clay Coffee Mugs Set of 2,Pottery & Clay,180.0,450,500,350,synthetic_benchmark
Earthen Clay Cooking Handi Pot,Pottery & Clay,300.0,950,1200,500,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,1090.0,3950,4800,1650,synthetic_benchmark
Artisan Handmade Kundan & Pearl Jhumka Earrings,Jewelry,420.0,1550,1900,700,synthetic_benchmark
Handmade Wooden Coaster Set of 6 with Stand,Woodwork,750.0,1900,2250,1150,synthetic_benchmark
Handcrafted Hand-Beaten Brass Dining Platter Thali Set,Metalwork,550.0,1850,2300,850,synthetic_benchmark
Artisan Filigree Pure Silver Toe Rings Pair,Jewelry,1890.0,7200,8700,2750,synthetic_benchmark
Exquisite Ergonomic Wireless Silent Optical Mouse,Electronics,1180.0,2100,2500,1750,synthetic_benchmark
Artisan Hand-Carved Wooden Wall Panel Relief,Woodwork,1020.0,2750,3400,1550,synthetic_benchmark
Handmade Brass Diya Oil Lamp Hanging,Metalwork,1530.0,3550,4750,2250,synthetic_benchmark
Handcrafted Bamboo Wood Bluetooth Wireless Speaker,Electronics,510.0,1300,1650,800,synthetic_benchmark
Handcrafted Terracotta Handpainted Statement Jewelry Set,Jewelry,1500.0,5600,6700,2200,synthetic_benchmark
Handcrafted Terracotta Water Pitcher with Traditional Lid,Pottery & Clay,210.0,550,650,400,synthetic_benchmark
Exquisite Zardozi Work Hand-Embroidered Velvet Clutch Bag,Embroidery,290.0,1250,1450,500,synthetic_benchmark
Handcrafted Handmade Brass Meenakari Enamel Bangles Set,Jewelry,1450.0,4700,5250,2150,synthetic_benchmark
Artisan Hand-Carved Wooden Wall Panel Relief,Woodwork,630.0,1950,2200,1000,synthetic_benchmark
Handmade Brass Meenakari Enamel Bangles Set,Jewelry,470.0,2000,2250,750,synthetic_benchmark
Artisan Glazed Ceramic Dining Soup Bowls Set of 4,Pottery & Clay,250.0,800,950,450,synthetic_benchmark
10000mAh Magnetic Wireless Power Bank Fast Charge,Electronics,1000.0,2700,3500,1500,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,1080.0,2550,2950,1600,synthetic_benchmark
Sculpted Clay Floral Vase with Rustic Finish,Pottery & Clay,380.0,1000,1250,650,synthetic_benchmark
Organic Handloom Linen Scarf with Tassels,Handloom Textile,3140.0,6050,7300,4500,synthetic_benchmark
Handmade Clay Kulhad Chai Cups Set of 6,Pottery & Clay,350.0,1150,1350,600,synthetic_benchmark
Eco-Friendly Sandalwood Carved Incense Stick Holder,Woodwork,770.0,2500,3250,1200,synthetic_benchmark
Sculpted Clay Floral Vase with Rustic Finish,Pottery & Clay,130.0,500,650,300,synthetic_benchmark
Exquisite Earthen Clay Cooking Handi Pot,Pottery & Clay,180.0,700,850,350,synthetic_benchmark
Eco-Friendly Sandalwood Carved Incense Stick Holder,Woodwork,490.0,1600,1850,800,synthetic_benchmark
Handcrafted Handloom Pure Silk Banarasi Saree with Zari Border,Handloom Textile,2740.0,8000,9750,3950,synthetic_benchmark
Vintage Artisan Glazed Ceramic Dining Soup Bowls Set of 4,Pottery & Clay,310.0,850,950,550,synthetic_benchmark
Deluxe Traditional Jamdani Cotton Saree,Handloom Textile,2070.0,6750,7600,3000,synthetic_benchmark
Custom Pure Bronze Kansa Serving Bowls Set of 2,Metalwork,1440.0,3450,4200,2100,synthetic_benchmark
Noise Cancelling Over-Ear Studio Headphones,Electronics,960.0,2600,2900,1450,synthetic_benchmark
Handwoven Woolen Kashmiri Pashmina Shawl,Handloom Textile,530.0,1550,2000,850,synthetic_benchmark
Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,660.0,1550,2000,1000,synthetic_benchmark
Eco-Friendly Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,750.0,2550,3150,1150,synthetic_benchmark
Custom 65W GaN USB-C Fast Charger with Foldable Plug,Electronics,340.0,900,1100,600,synthetic_benchmark
Artisan 7-in-1 Aluminium USB-C Multiport Hub Adapter,Electronics,1010.0,1900,2300,1500,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,670.0,2050,2600,1050,synthetic_benchmark
Handcrafted Beaded Semi-Precious Stone Bracelet,Jewelry,870.0,1900,2500,1300,synthetic_benchmark
Deluxe Artisan Filigree Pure Silver Toe Rings Pair,Jewelry,2130.0,5850,7550,3100,synthetic_benchmark
Premium Handmade Kundan & Pearl Jhumka Earrings,Jewelry,2060.0,5600,6900,3000,synthetic_benchmark
Custom Handmade Terracotta Decorative Wall Hanging,Pottery & Clay,80.0,550,700,200,synthetic_benchmark
Handmade Terracotta Decorative Wall Hanging,Pottery & Clay,150.0,600,700,300,synthetic_benchmark
Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,350.0,1050,1400,600,synthetic_benchmark
Khadi Cotton Handloom Kurta for Men,Handloom Textile,2960.0,6650,7800,4250,synthetic_benchmark
Handspun Cotton Table Runner with Tribal Motifs,Handloom Textile,2300.0,7350,9600,3300,synthetic_benchmark
Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,1320.0,3050,3450,1950,synthetic_benchmark
Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,630.0,2200,2850,1000,synthetic_benchmark
Classic Handmade Kundan & Pearl Jhumka Earrings,Jewelry,730.0,2300,2600,1100,synthetic_benchmark
Exquisite Hand-Embroidered Chikankari Cotton Kurti,Embroidery,280.0,1100,1350,500,synthetic_benchmark
Handmade Clay Kulhad Chai Cups Set of 6,Pottery & Clay,120.0,550,750,250,synthetic_benchmark
Eco-Friendly Artisan Ceramic Planter with Drainage Plate,Pottery & Clay,260.0,800,1050,450,synthetic_benchmark
Custom Sculpted Clay Floral Vase with Rustic Finish,Pottery & Clay,160.0,500,550,300,synthetic_benchmark
Deluxe Handmade Brass Pooja Bell with Peacock Handle,Metalwork,440.0,1200,1500,700,synthetic_benchmark
Handwoven Woolen Kashmiri Pashmina Shawl,Handloom Textile,1300.0,3100,4150,1900,synthetic_benchmark
Authentic Kanjivaram Silk Festive Saree,Handloom Textile,3210.0,7500,8650,4600,synthetic_benchmark
Handmade Wooden Coaster Set of 6 with Stand,Woodwork,1010.0,2500,2750,1500,synthetic_benchmark
Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,980.0,2350,2800,1450,synthetic_benchmark
Traditional Hand-Embroidered Chikankari Cotton Kurti,Embroidery,490.0,1550,1950,800,synthetic_benchmark
Vintage 7-in-1 Aluminium USB-C Multiport Hub Adapter,Electronics,520.0,1050,1350,850,synthetic_benchmark
Traditional Hand-Embroidered Chikankari Cotton Kurti,Embroidery,460.0,1800,2050,750,synthetic_benchmark
Handcrafted Walnut Wood Decorative Serving Tray,Woodwork,780.0,2200,2750,1200,synthetic_benchmark
Vintage Hand-Stitched Patchwork Quilt Throw Blanket,Embroidery,660.0,2200,2850,1000,synthetic_benchmark
Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,780.0,2000,2400,1200,synthetic_benchmark
Handloom Pure Silk Banarasi Saree with Zari Border,Handloom Textile,1960.0,5650,7600,2850,synthetic_benchmark
Traditional Authentic Kanjivaram Silk Festive Saree,Handloom Textile,3150.0,6950,8150,4500,synthetic_benchmark
45W Type-C Fast Charger for Ultrasharp Laptops,Electronics,1420.0,3500,4300,2100,synthetic_benchmark
Handmade Terracotta Decorative Wall Hanging,Pottery & Clay,390.0,1050,1250,650,synthetic_benchmark
Handmade Brass Meenakari Enamel Bangles Set,Jewelry,1680.0,6900,7750,2450,synthetic_benchmark
Handmade Brass Pooja Bell with Peacock Handle,Metalwork,840.0,2400,2700,1300,synthetic_benchmark
Traditional Earthen Clay Cooking Handi Pot,Pottery & Clay,360.0,950,1100,600,synthetic_benchmark
Kantha Stitch Embroidered Cotton Cushion Covers Pair,Embroidery,190.0,600,800,350,synthetic_benchmark
Deluxe Artisan Filigree Pure Silver Toe Rings Pair,Jewelry,1320.0,3950,5350,1950,synthetic_benchmark
Traditional Jamdani Cotton Saree,Handloom Textile,3240.0,9500,10850,4650,synthetic_benchmark
Hand-Stitched Patchwork Quilt Throw Blanket,Embroidery,840.0,2700,3550,1300,synthetic_benchmark
Ergonomic Wireless Silent Optical Mouse,Electronics,1040.0,1800,2200,1550,synthetic_benchmark
Handcrafted Bamboo Wood Bluetooth Wireless Speaker,Electronics,480.0,1200,1550,750,synthetic_benchmark
Handcrafted Oxidised 925 Silver Tribal Choker Necklace,Jewelry,410.0,1550,1950,650,synthetic_benchmark
Exquisite Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,1230.0,2850,3400,1800,synthetic_benchmark
Artisan Handcrafted Bamboo Wood Bluetooth Wireless Speaker,Electronics,600.0,1550,1800,950,synthetic_benchmark
